SRH,vs,MI
Ball No,Runs,General Commentary,Bowler,Batsman,Fielder
19.6,1,"Bumrah to Kumar, 1 run, another full toss on middle from wide of the crease, swung towards long-on who comes haring in to cut that off",Bumrah,Kumar
19.5,2,"Bumrah to Kumar, 2 runs, flicks a full toss on middle towards deep midwicket",Bumrah,Kumar
19.4,W,"Bumrah to Rashid Khan, OUT, swung across the line but didn't get to the pitch whatsoever, top-edged the slog as Bumrah ran to his left to take an easy catch. Slower deliveries are the ones fetching wickets here in the slog overs. Rashid Khan c & b Bumrah 2 (6m 4b 0x4 0x6) SR: 50.00",Bumrah,Rashid Khan,Bumrah 
19.3,1,"Bumrah to Kumar, 1 run, fires this full on middle from wide of the crease, hit hard to mid-off as they scamper a single",Bumrah,Kumar
19.2,1,"Bumrah to Rashid Khan, 1 run, backs away and squeezes a full delivery on off to mid-off",Bumrah,Rashid Khan
19.1,W,"Bumrah to Ojha, OUT, looks to swing this over long-on but could only manage to toe-end the slog to Pollard who takes a dolly at the boundary. An air of nonchalance as he goes about taking easy catches like these at the boundary. Seemed to have enough time to have cup of tea before he took that NV Ojha c Pollard b Bumrah 9 (21m 9b 0x4 0x6) SR: 100.00 NV Ojha SL Malinga Rashid Khan JJ Bumrah",Bumrah,Ojha,Pollard
18.6,1,"Malinga to Ojha, 1 run, right into the blockhole on middle and leg, squeezed to square leg",Malinga,Ojha
18.5,2,"Malinga to Ojha, 2 runs, another slower delivery, works it from outside off towards the man coming in from deep midwicket. Excellent running",Malinga,Ojha
18.4,1lb,"Malinga to Rashid Khan, 1 leg bye, looks to swing this to deep backward square but the low full toss dipped on him and beat the swing to hit him on the pad. Impact outside leg",Malinga,Rashid Khan
18.3,1,"Malinga to Ojha, 1 run, chipped over Malinga's outstretched hands on his followthrough, once again turned the bat face early to get a leading edge",Malinga,Ojha
18.2,1,"Malinga to Rashid Khan, 1 run, shuffles across and turns the low full toss on leg stump to fine leg",Malinga,Rashid Khan
18.1,W,"Malinga to Shankar, OUT, leading edge and taken at point. Vijay is completely deceived by the change in pace, tried to flick the full ball but the ball dipped on him to take the edge. As simple as they come at backward point. Don't think Vijay Shankar had faced him before. V Shankar c Rana b Malinga 1 (3m 2b 0x4 0x6) SR: 50.00 NV Ojha JJ Bumrah V Shankar SL Malinga",Malinga,Shankar,Rana
