RCB,vs,RCB
Ball No,Runs,General Commentary,Bowler,Batsman,Fielder
19.5,0,"Morris to Mills, no run, not a perfect yorker, really full and outside off, 147ks, beats Mills' attempt to cover drive",Morris,Mills
19.4,0,"Morris to Mills, no run, Mills backs away outside the leg stump, this is hurled wide outside off. Mills can't reach out that far Mills",Morris,Mills
19.3,W,"Morris to Negi, OUT, The middle stump is floored. The off and leg stumps are left spread- eagled. Rapid yorker, Negi can't carve it through the off side. Morris hits P Negi b Morris 10 (12m 8b 0x4 1x6) SR: 125.00",Morris,Negi
19.2,6,"Morris to Negi, SIX, Morris aims for the yorker, Negi steps out, takes it on the full-toss, and dumps it over the bowler's head",Morris,Negi
19.1,1,"Morris to Iqbal Abdulla, 1 run, leg-stump yorker, 147ks, squeezed down to fine leg P Negi PJ Cummins Iqbal Abdulla CH Morris",Morris,Iqbal Abdulla
18.5,2,"Cummins to Negi, 2 runs, Negi shimmies out, this is a bouncer aimed at his head. He looks away and top-edges a hook over square leg",Cummins,Negi
18.4,1,"Cummins to Iqbal Abdulla, 1 run, banged in short, aimed at the head, top-edged pull over square leg",Cummins,Iqbal Abdulla
18.3,2,"Cummins to Iqbal Abdulla, 2 runs, full on the leg stump, 140ks, clipped away to deep midwicket, where Nadeem and Karun collide. Nadeem slides and his shoulder rams into Karun's knee. No harm done",Cummins,Iqbal Abdulla
18.2,0,"Cummins to Iqbal Abdulla, no run, the batsman backs away outside leg, Cummins chases him with a 144ks, short ball. Beats him",Cummins,Iqbal Abdulla
18.1,1,"Cummins to Negi, 1 run, tucked around the corner off the hips Iqbal Abdulla CH Morris P Negi Z Khan",Cummins,Negi
17.6,0,"Morris to Iqbal Abdulla, no run, short of a length, cramps Abdulla for room. Defended. Just two off the 18th over",Morris,Iqbal Abdulla
17.5,1,"Morris to Negi, 1 run, 144ks yorker on middle and leg, an inside edge saves him. Edged onto the pad",Morris,Negi
17.4,0,"Morris to Negi, no run, chest-high short ball, beats the batsman for pace",Morris,Negi
17.3,0,"Morris to Negi, no run, wide yorker outside off, 142ks, Negi can't squirt it out",Morris,Negi
17.2,1,"Morris to Iqbal Abdulla, 1 run, just short of a good length and going away outside off, steered down to deep third man",Morris,Iqbal Abdulla
